code;name;situacao;cnpj;type;place;district;city;state;zip_code;phoneNumber;email;templo;membros;superintendence;region;type_correspondence;place_correspondence;district_correspondence;city_correspondence;state_correspondence;zip_code_correspondence;content;title;created_at
6330;OBPC - VOTUPORANGA - B. COLINAS ;ATIVA;03.167.618/0001-39;PRINCIPAL;RUA ANTONIO SEBA, 2954;BAIRRO COLINAS ;VOTUPORANGA;SP;15503-360  ;(17) 99761-9972;lucas_administrador@hotmail.com;PROPRIO;0;SÃO JOSÉ DO RIO PRETO;INTERIOR;CORRESPONDÊNCIA;RUA ANTONIO SEBA, 2954;BAIRRO COLINAS ;VOTUPORANGA;SP;15503-360  ;CADASTRO INICIAL;CADASTRO INICIAL;08/03/2021
6331;OBPC - RIBEIRAO GRANDE - CENTRO;ATIVA;10.473.954/0001-75;PRINCIPAL;RUA DEODORO DE LIMA, 161;CENTRO;RIBEIRÃO GRANDE;SP;18315-000;(15) 99760-2071;jonatas-bruno@hotmail.com;OUTRO;0;CAPÃO BONITO;INTERIOR;CORRESPONDÊNCIA;RUA DEODORO DE LIMA, 161;CENTRO;RIBEIRÃO GRANDE;SP;18315-000;CADASTRO INICIAL;CADASTRO INICIAL;31/03/2021
6332;OBPC - CORDEIROPOLIS - JD SAO FRANCISCO;ATIVA;51.907.111/0001-17;PRINCIPAL;RUA  ANTONIO PEREIRA DA SILVA, 819;JARDIM SÃO FRANCISCO;CORDEIRÓPOLIS;SP ;13490-000;(19) 99655-4465;Luuiizgaldinoo2016@gmail.com;OUTRO;0;AMERICANA;INTERIOR;CORRESPONDÊNCIA;RUA  ANTONIO PEREIRA DA SILVA, 819;JD. SÃO FRANCISCO;CORDEIROPOLIS;SP;13490-000;ATUALIZAÇÃO NO PRESIDENTE;PRESIDENTE;10/12/2021
6333;OBPC - COSMORAMA - CENTRO;ATIVA;47.850.516/0001-99;PRINCIPAL;RUA JOAQUIM DA COSTA MACIEL, 526;CENTRO;COSMORAMA;SP;15530-000;(17) 99776-1563;hamarg.comercio@gmail.com;OUTRO;0;SÃO JOSÉ DO RIO PRETO;INTERIOR;CORRESPONDÊNCIA;RUA JOAQUIM DA COSTA MACIEL, 526;CENTRO;COSMORAMA;SP;15530-000;CADASTRO INICIAL;CADASTRO INCIAL;04/05/2021
6334;OBPC - SANTANA DE PARNAÍBA - GERMANO;ATIVA;51.436.228/0001-60;PRINCIPAL;RUA VICENTE RODRIGUES, 101;GERMANO;SANTANA DO PARNAIBA;SP;06513-345;(11) 94379-9920;marinnagleicy.33893@gmail.com;OUTRO;0;SÃO ROQUE;INTERIOR;CORRESPONDÊNCIA;RUA VICENTE RODRIGUES, 101;GERMANO;SANTANA DO PARNAIBA;SP;06513-345;CADASTRO INICIAL;CADASTRO INICIAL;14/05/2021
6335;OBPC - MARTINOPOLIS - ZONA RURAL;ATIVA;06.075.466/0001-32;PRINCIPAL;ROD. SERVERO LINS KM 537 - RUA 1, 33;ZONA RURAL;MARTINÓPOLIS;SP;19500-000;(18) 99617-7287;obpcmartinopolis@gmail.com;OUTRO;0;PRESIDENTE PRUDENTE;INTERIOR;CORRESPONDÊNCIA;ROD. SERVERO LINS KM 537 - RUA 1, 33;ZONA RURAL;MARTINÓPOLIS;SP;19500-000;CADASTRO INICIAL;CADASTRO INICIAL;29/06/2021
6336;OBPC - ESTRELA DO NORTE - CENTRO;ATIVA;06.075.466/0001-32;PRINCIPAL;RUA RUI BARBOSA, 786;CENTRO;ESTRELA DO NORTE;SP;19230-000;(18) 99653-1094;obpcestrela@hotmail.com;OUTRO;0;PRESIDENTE PRUDENTE;INTERIOR;CORRESPONDÊNCIA;RUA JOSÉ JOQUIM LEITE, 179;CENTRO;ESTRELA DO NORTE;SP;19230-000;ATUALIZAÇÃO NO ENDEREÇO DE CORRESPONDÊNCIA;ENDEREÇO DE CORRESP;11/01/2022
6337;OBPC - PERNAMBUCO - STA TEREZINHA ;ATIVA;04.184.046/0001-69;PRINCIPAL;RUA MONSENHOR SEBASTIÃO FERREIRA RABELO, 27;CENTRO;STA TEREZINHA;PE;56750-000;(87) 98842-2195;fabioacesso@hotmail.com;OUTRO;0;CAPITAL;;CORRESPONDÊNCIA;RUA  ANTONIO LUIZ DA SILVA, 104;CENTRO ;STA TEREZINHA;PE;56750-000;CADASTRO INICIAL;CADASTRO INICIAL;07/07/2021
6338;OBPC - PERNAMBUCO - VL DO ESPIRITO SANTO;ATIVA;04.184.046/0001-69;PRINCIPAL;ERRO  ZONA RURAL ;VILA  DO ESPIRITO SANTO;SÃO JOSÉ DO EGITO;PE;56700-000;(83) 98137-4827;prvaldeban@bol.com;OUTRO;0;CAPITAL;;CORRESPONDÊNCIA;RUA JOSÉ LUIZ DA SILVA, 211;VL DO ESP SANTO;SÃO JOSÉ DO EGITO;PE;5670-000;ATUALIZAÇÃO NO ENDEREÇO DE CORRESPONDÊNCIA;ATUALIZADO END CORRESPONDENCIA ;05/08/2021
6339;OBPC - ITAQUAQUECETUBA - RECANTO MONICA;ATIVA;34.076.220/0001-10;PRINCIPAL;RUA  RUA MIRANDOPOLIS 615-617 PISO SUPERIOR;PARQUE RECANTO MONICA;ITAQUAQUECETUBA;SP;08592-000;(11) 97186-8775;ie.itaqua@uol.com.br;OUTRO;0;ALTO TIETE;GRANDE SP;CORRESPONDÊNCIA;RUA  MAGDA, 320;RECANTO MONICA;ITAQUAQUECETUBA;SP;08592-050;ENDEREÇO;ENDEREÇO;07/10/2022
6342;OBPC - DIADEMA - JARDIM DAS LARANJEIRAS ;ATIVA;54.327.531/0001-12;PRINCIPAL;RUA RUA ALFONSO RENANO, 75;JARDIM DAS LARANJEIRAS;DIADEMA;SP;04476-125;(11) 97186-8775;regional@obpcmandaqui.com.br;OUTRO;0;CAPITAL;CAPITAL;CORRESPONDÊNCIA;RUA RUA ALFONSO RENANO, 75;JARDIM DAS LARANJEIRAS;DIADEMA;SP;04476-125;CADASTRO INICIAL;CADASTRO INICIAL;19/01/2022
6344;OBPC- SP - VL. NOVA YORK ;ATIVA;50.059.088/0001-95;PRINCIPAL;RUA CEL. PANFILO, 199;VILA NOVA YORK;SÃO PAULO;SP;03908-050;(11) 98345-4104;prof.fabianogomes@hotmail.com;OUTRO;12;CAPITAL;CAPITAL;CORRESPONDÊNCIA;RUA CEL. PANFILO, 199;VILA NOVA YORK;SÃO PAULO;SP;03908-050;CADASTRO INICIAL;CADASTRO INICIAL;31/01/2022
6345;OBPC - SP - JD NELIA;ATIVA;58.105.826/0001-03;PRINCIPAL;RUA ITAJUÍBE, 1.655;JARDIN NÉLIA;SÃO PAULO;SP;08142-000;(11) 96054-4706;japa551@hotmail.com;OUTRO;0;CAPITAL;CAPITAL;CORRESPONDÊNCIA;RUA ITAJUÍBE, 1.655;JARDIN NÉLIA;SÃO PAULO;SP;08142-000;CADASTRO INICIAL;CADASTRO INICIAL;23/02/2022
6346;OBPC - BAURU - MARY DOTA;ATIVA;03.105.284/0001-79;PRINCIPAL;AVENIDA DOUTRO MARCOS DE PAULA RAPHAEL, 31-102;MARY DOTA;BAURU;SP;17026-000;(14) 99678-6019;;ALUGADO;0;BAURU;INTERIOR;CORRESPONDÊNCIA;AVENIDA DOUTRO MARCOS DE PAULA RAPHAEL, 31-102;MARY DOTA;BAURU;SP;17026-000;CADASTRO INICIAL;CADASTRO INICIAL;28/03/2022
6347;OBPC - BAURU - INDEPENDENCIA ;ATIVA;03.105.284/0001-79;PRINCIPAL;RUA MARTINS FONTES, 6-48;VILA INDENPENDENCIA;BAURU;SP;17054-310;(14) 99166-6828;;ALUGADO;0;BAURU;INTERIOR;CORRESPONDÊNCIA;RUA  MARTINS FONTES, 6-48;VILA INDEPENDENCIA;BAURU;SP;17054-310;CADASTRO INICIAL;CADASTRO INICIAL;28/03/2022
6348;OBPC - PARDINHO - SERRA ITALIANA;ATIVA;50.820.869/0001-50;PRINCIPAL;RUA TREVISO, 240;SERRA ITALIANA;PARDINHO;SP;18640-000;(14) 99708-5824;;OUTRO;0;AVARÉ;INTERIOR;CORRESPONDÊNCIA;RUA TREVISO, 240;SERRA ITALIANA;PARDINHO;SP;18640-000;CADASTRO INICIAL;CADASTRO INICIAL (PELO WHATS COM ORLANDO MAX);31/05/2022
6349;OBPC - JUNDIAI - ALMERINDA PEREIRA CHAVES;ATIVA;50.982.313/0001-60;PRINCIPAL;RUA JOSÉ RIBEIRO BARBOSA, 212;PARQUE ALMERINDA PEREIRA CHAVES;JUNDIAÍ;SP;13212-561;(11) 98424-5300;carlosconvencao@hotmail.com;OUTRO;0;JUNDIAÍ;INTERIOR;CORRESPONDÊNCIA;RUA JOSÉ RIBEIRO BARBOSA, 212;PARQUE ALMERINDA PEREIRA CHAVES;JUNDIAÍ;SP;13212-561;CADASTRO INICIAL;CADASTRO INCIAL;22/06/2022
6350;OBPC - VALPARAISO - LAMBARI 1;ATIVA;51.105.484/0001-74;PRINCIPAL;RUA  SANTOS DUMONT 783;BAIRRO LAMBARI;VALPARAÍSO;SP;16880-000;(18) 99127-2000;pastoreuclidesferreira@hotmail.com;ALUGADO;0;ARAÇATUBA;INTERIOR;CORRESPONDÊNCIA;RUA  13 DE MAIO - 715;CENTRO;VALPARAÍSO;SP;16880-000;CADASTRO INICIAL;CADASTRO INICIAL;25/07/2022
6351;OBPC - MAUA - CENTRO;ATIVA;50.136.167/0001-52;PRINCIPAL;AVENIDA BARÃO DE MAUÁ, 1.456;CENTRO;MAUÁ;SP;09320-130;(11) 97529-5759;pr.silvio_brasil@yahoo.com.br;PROPRIO;0;GRANDE ABC;GRANDE ABC;CORRESPONDÊNCIA;RUA IONE, 21;VL. FAUSTO NEVES MORELLI;MAUÁ;SP;09310-120;IGREJA COM BLOQUIEO PARA CORRESPONDENCIAS E CONTRIBUIÇÕES;CADASTRO INICIAL/ABERTURA SOMENTE DOCUMENTAL ;23/08/2022
6352;OBPC - MONTE ALTO - JD SANTANA;ATIVA;66.998.592/0001-90;PRINCIPAL;RUA  BRASIL, 376;JARDIM SANTANA;MONTE ALTO;SP;15910-000;;;OUTRO;0;RIBEIRÃO PRETO;INTERIOR;CORRESPONDÊNCIA;RUA  BRASIL, 376;JARDIM SANTANA;MONTE ALTO;SP;15910-000;CADASTRO INICIAL;CADASTRO INICIAL;25/10/2022
6353;OBPC - SALTO - VL HENRIQUE;ATIVA;45.943.164/0001-90;PRINCIPAL;RUA  GENERAL GLICÉRIO, 752;VILA HENRIQUE;SALTO;SP;13321-270;(11) 96480-9604;obrasilpcristosalto@yahoo.com.br;ALUGADO;0;SÃO ROQUE;INTERIOR;CORRESPONDÊNCIA;AV. DOS TRABALHADORES, 85;VL. NOVA;SALTO;SP;13323-000;CADASTRO INICIAL;CADASTRO;20/12/2022
